accuracy,loss,val_accuracy,val_loss
0.25460830330848694,3.143347978591919,0.20192307233810425,1.8548812866210938
0.28125,2.659050941467285,0.19951923191547394,1.8896993398666382
0.2753456234931946,2.4574992656707764,0.19951923191547394,2.614696741104126
0.34375,2.0215964317321777,0.19711539149284363,2.6662697792053223
0.3018433153629303,1.7341258525848389,0.20192307233810425,3.958997964859009
0.28125,1.6437498331069946,0.19951923191547394,4.016211986541748
0.36520737409591675,1.5382710695266724,0.19951923191547394,4.609167098999023
0.4375,1.317200779914856,0.19711539149284363,4.665675640106201
0.35599079728126526,1.551902413368225,0.20432692766189575,4.838120937347412
0.25,1.59988534450531,0.19711539149284363,4.841145992279053
0.37557604908943176,1.4879810810089111,0.19951923191547394,4.565420150756836
